,1. open,2. high,3. low,4. close,5. volume
2024-02-02 19:59:00,411.0600,411.2200,411.0600,411.1400,125
2024-02-02 19:58:00,411.0900,411.1000,411.0500,411.1000,865
2024-02-02 19:57:00,411.0100,411.1000,411.0100,411.1000,76
2024-02-02 19:56:00,411.0200,411.0400,410.9800,411.0400,153
2024-02-02 19:55:00,411.0500,411.1000,411.0000,411.0400,115
2024-02-02 19:54:00,411.2000,411.2000,411.0100,411.0900,228
2024-02-02 19:53:00,411.1100,411.2000,411.0000,411.1000,631
2024-02-02 19:52:00,411.1100,411.2200,411.0000,411.1100,595
2024-02-02 19:51:00,411.1100,411.2100,411.0100,411.2100,106
2024-02-02 19:50:00,411.0000,411.2200,410.9400,411.2200,99
2024-02-02 19:49:00,411.0700,411.2200,410.9400,411.0800,16
2024-02-02 19:48:00,410.8900,411.2200,410.8900,410.9500,519
2024-02-02 19:47:00,411.0100,411.1600,411.0100,411.1600,250
2024-02-02 19:46:00,411.0300,411.0300,411.0100,411.0200,189
2024-02-02 19:45:00,411.1850,411.1850,411.0100,411.0100,456
2024-02-02 19:44:00,411.1850,411.3600,411.0100,411.2100,835
2024-02-02 19:43:00,411.1850,411.3200,411.0400,411.0400,96
2024-02-02 19:42:00,411.1600,411.3600,411.0000,411.0000,886
2024-02-02 19:41:00,411.2500,411.4000,411.1400,411.2200,580
2024-02-02 19:40:00,411.2100,411.3700,411.1000,411.1500,147
2024-02-02 19:39:00,411.2200,411.2200,411.0100,411.2050,25
2024-02-02 19:38:00,411.2500,411.2500,411.2050,411.2200,12
2024-02-02 19:37:00,411.2050,411.2500,411.2050,411.2050,6
2024-02-02 19:36:00,411.1550,411.3000,411.1500,411.2050,537
2024-02-02 19:35:00,411.0200,411.2000,411.0100,411.1100,123
2024-02-02 19:34:00,411.4500,411.4500,411.0100,411.2250,12
2024-02-02 19:33:00,411.1700,411.1700,410.8900,411.1700,34
2024-02-02 19:32:00,411.1700,411.4500,411.0900,411.1700,34
2024-02-02 19:31:00,411.3100,411.4500,410.8900,410.8900,196
2024-02-02 19:30:00,411.1700,411.1700,411.0000,411.1700,12
2024-02-02 19:29:00,410.8900,411.4500,410.8900,411.1700,35
2024-02-02 19:28:00,411.1700,411.4500,411.1500,411.1500,54
2024-02-02 19:27:00,411.1500,411.1700,410.8900,410.9000,18
2024-02-02 19:26:00,410.8900,411.1700,410.8900,411.1500,9
2024-02-02 19:25:00,411.1000,411.3500,411.0300,411.0300,52
2024-02-02 19:24:00,411.1700,411.3200,411.1000,411.1050,7
2024-02-02 19:23:00,411.1900,411.2700,411.1900,411.2700,20
2024-02-02 19:22:00,410.9500,411.5000,410.9500,411.5000,239
2024-02-02 19:21:00,411.0000,411.0000,410.8900,410.9500,17
2024-02-02 19:20:00,410.9500,411.0000,410.9000,411.0000,46
2024-02-02 19:19:00,410.9450,411.0100,410.8800,411.0100,54
2024-02-02 19:18:00,410.9400,411.0000,410.8800,411.0000,143
2024-02-02 19:17:00,410.9400,411.0000,410.8800,410.9400,56
2024-02-02 19:16:00,411.0150,411.0150,410.9400,410.9400,27
2024-02-02 19:15:00,411.0800,411.1500,410.8800,411.0000,59
2024-02-02 19:14:00,411.3000,411.3000,411.0800,411.1500,6
2024-02-02 19:13:00,411.1550,411.3000,411.0100,411.1550,107
2024-02-02 19:12:00,411.1550,411.2900,411.0200,411.1550,213
2024-02-02 19:11:00,411.0100,411.2800,411.0100,411.0100,13
2024-02-02 19:10:00,411.2800,411.3000,411.0100,411.0300,123
2024-02-02 19:09:00,411.0200,411.4900,411.0200,411.1550,318
2024-02-02 19:08:00,411.2200,411.4900,411.1700,411.1700,128
2024-02-02 19:07:00,411.0400,411.2500,411.0200,411.0200,27
2024-02-02 19:06:00,411.2500,411.2500,411.1200,411.2500,9
2024-02-02 19:05:00,411.0100,411.3000,411.0100,411.1800,660
2024-02-02 19:04:00,411.2200,411.2200,411.1150,411.1150,7
2024-02-02 19:03:00,411.0300,411.2000,411.0300,411.1900,345
2024-02-02 19:02:00,411.2000,411.2450,411.1600,411.1600,67
2024-02-02 19:01:00,411.2600,411.5000,411.0200,411.5000,102
2024-02-02 19:00:00,411.0300,411.2600,411.0200,411.2600,459
2024-02-02 18:59:00,411.0900,411.1600,411.0300,411.0900,37
2024-02-02 18:58:00,411.0600,411.1600,411.0200,411.1600,100
2024-02-02 18:57:00,411.1100,411.1100,411.1100,411.1100,5
2024-02-02 18:56:00,411.1100,411.2000,411.0600,411.1100,19
2024-02-02 18:55:00,411.1300,411.2000,411.0200,411.2000,86
2024-02-02 18:54:00,411.1200,411.2200,411.0800,411.2200,84
2024-02-02 18:53:00,411.0700,411.2200,411.0400,411.1200,184
2024-02-02 18:52:00,411.0400,411.1600,411.0300,411.1600,138
2024-02-02 18:51:00,411.2350,411.2350,411.0900,411.1000,8
2024-02-02 18:50:00,411.2350,411.4500,411.0200,411.0200,142
2024-02-02 18:49:00,411.0330,411.4500,411.0330,411.1100,571
2024-02-02 18:48:00,411.0200,411.2350,411.0200,411.2000,174
2024-02-02 18:47:00,411.3100,411.3100,411.0100,411.2300,821
2024-02-02 18:46:00,411.2700,411.4500,411.2400,411.3100,47
2024-02-02 18:45:00,411.4500,411.4500,411.2800,411.3100,234
2024-02-02 18:44:00,411.3300,411.4500,411.2800,411.3000,58
2024-02-02 18:43:00,411.3300,411.3650,411.3300,411.3300,65
2024-02-02 18:42:00,411.3300,411.4500,411.2800,411.4100,31
2024-02-02 18:41:00,411.3650,411.4500,411.3400,411.3650,35
2024-02-02 18:40:00,411.4500,411.4500,411.3650,411.3650,9
2024-02-02 18:39:00,411.3350,411.4500,411.3350,411.4500,4
2024-02-02 18:38:00,411.3140,411.4500,411.3140,411.3350,69
2024-02-02 18:37:00,411.3350,411.3500,411.3300,411.3350,53
2024-02-02 18:36:00,411.3600,411.3600,411.3300,411.3300,56
2024-02-02 18:35:00,411.4300,411.5300,411.3750,411.3800,61
2024-02-02 18:34:00,411.7000,411.7000,411.3800,411.4300,235
2024-02-02 18:33:00,411.5400,411.7000,411.3800,411.6500,203
2024-02-02 18:32:00,411.5400,411.5500,411.3800,411.3800,99
2024-02-02 18:31:00,411.5400,411.6500,411.5400,411.5500,147
2024-02-02 18:30:00,411.5400,411.6400,411.3800,411.5400,13
2024-02-02 18:29:00,411.5400,411.5500,411.3800,411.5300,5
2024-02-02 18:28:00,411.6500,411.6800,411.5300,411.5300,42
2024-02-02 18:27:00,411.5300,411.6800,411.5300,411.6800,31
2024-02-02 18:26:00,411.3800,411.6800,411.3800,411.3800,11
2024-02-02 18:25:00,411.5400,411.5400,411.4280,411.5300,41
2024-02-02 18:24:00,411.5800,411.6500,411.5300,411.5300,52
2024-02-02 18:23:00,411.5500,411.5600,411.3900,411.5600,186
2024-02-02 18:22:00,411.5500,411.5500,411.5150,411.5150,2
2024-02-02 18:21:00,411.4650,411.5600,411.4600,411.5150,324
2024-02-02 18:20:00,411.4650,411.4650,411.4000,411.4650,46
